modo, particao, W, L, tempo_total, tempo_max_filho, tempo_min_filho, tempo_agregacao
thread, bloco, 1, 1000001, 1.19e-01, -1, -1, -1
thread, bloco, 1, 1000001, 9.52e-02, -1, -1, -1
thread, bloco, 1, 10000001, 9.23e-01, -1, -1, -1
thread, bloco, 1, 100000001, 9.54e+00, -1, -1, -1
