modo, particao, W, L, tempo_total, tempo_max_filho, tempo_min_filho, tempo_agregacao
thread, bloco, 1, 100010001, 2.24e+01, -1, -1, -1
thread, bloco, 1, 100010001, 2.58e+01, -1, -1, -1
